Date,AAPL,MSFT,GOOGL,AMZN
2022-04-14,162.65444946289062,272.7730712890625,126.12699127197266,151.7064971923828
2022-04-18,162.43795776367188,273.4456481933594,127.0689926147461,152.78500366210938
2022-04-19,164.7307891845703,278.1051330566406,129.39041137695312,158.11549377441406
2022-04-20,164.56346130371094,279.1383972167969,127.43075561523438,153.9980010986328
2022-04-21,163.76641845703125,273.7283935546875,124.2206039428711,148.29600524902344
2022-04-22,159.2102508544922,267.1193542480469,119.06624603271484,144.35000610351562
2022-04-25,160.28286743164062,273.6406555175781,122.48838806152344,146.07400512695312
2022-04-26,154.29981994628906,263.4054870605469,118.08544158935547,139.39100646972656
2022-04-27,154.07345581054688,276.07763671875,113.75067138671875,138.16700744628906
2022-04-28,161.03073120117188,282.3259582519531,117.95854949951172,144.59649658203125
2022-04-29,155.13623046875,270.5213623046875,113.56654357910156,124.28150177001953
2022-05-02,155.4413299560547,277.2961120605469,116.02827453613281,124.5
2022-05-03,156.93707275390625,274.6739501953125,116.77570343017578,124.25350189208984
2022-05-04,163.37278747558594,282.6671447753906,121.67925262451172,125.92849731445312
2022-05-05,154.270263671875,270.3556213378906,115.95114135742188,116.40699768066406
2022-05-06,154.99952697753906,267.8017272949219,115.19574737548828,114.77249908447266
2022-05-09,149.85520935058594,257.90771484375,111.97565460205078,108.78900146484375
2022-05-10,152.2696990966797,262.7035827636719,113.85067749023438,108.85900115966797
2022-05-11,144.37583923339844,253.9793243408203,113.06195831298828,105.37200164794922
2022-05-12,140.49298095703125,248.91046142578125,112.30706787109375,106.93049621582031
2022-05-13,144.97703552246094,254.53489685058594,115.4983139038086,113.05500030517578
2022-05-16,143.42977905273438,254.9053497314453,113.90045166015625,110.81050109863281
2022-05-17,147.07614135742188,260.0911865234375,115.9188003540039,115.36849975585938
2022-05-18,138.77822875976562,248.2493438720703,111.36705780029297,107.11250305175781
2022-05-19,135.3585205078125,247.3308868408203,109.85877227783203,107.31900024414062
2022-05-20,135.59506225585938,246.7642059326172,108.3897933959961,107.59100341796875
2022-05-23,141.0349884033203,254.66854858398438,110.95751953125,107.55699920654297
2022-05-24,138.32484436035156,253.66221618652344,105.46577453613281,104.0999984741211
2022-05-25,138.48255920410156,256.4956359863281,105.30155944824219,106.7750015258789
2022-05-26,141.69528198242188,259.79803466796875,107.27960205078125,111.07749938964844
2022-05-27,147.47035217285156,266.9696350097656,111.78207397460938,115.14649963378906
2022-05-31,146.6819305419922,265.63104248046875,113.220703125,120.20950317382812
2022-06-01,146.5537872314453,266.1684265136719,113.3500747680664,121.68399810791016
2022-06-02,149.01759338378906,268.2788391113281,117.06283569335938,125.51100158691406
2022-06-03,143.27207946777344,263.8235168457031,113.99598693847656,122.3499984741211
2022-06-06,144.02105712890625,262.5826721191406,116.26465606689453,124.79000091552734
2022-06-07,146.5537872314453,266.24664306640625,116.59207916259766,123.0
2022-06-08,145.81468200683594,264.20458984375,116.63636779785156,121.18000030517578
2022-06-09,140.5718231201172,258.71356201171875,114.28909301757812,116.1500015258789
2022-06-10,135.14169311523438,247.184326171875,110.632568359375,109.6500015258789
2022-06-13,129.96780395507812,236.7005615234375,105.88626861572266,103.66999816894531
2022-06-14,130.8350830078125,238.87940979003906,106.20772552490234,102.30999755859375
2022-06-15,133.46633911132812,245.9825439453125,109.24222564697266,107.66999816894531
2022-06-16,128.1741943359375,239.34837341308594,105.52897644042969,103.66000366210938
2022-06-17,129.65245056152344,241.96688842773438,106.6336898803711,106.22000122070312
2022-06-21,133.89996337890625,247.91712951660156,111.01325225830078,108.68000030517578
2022-06-22,133.3874969482422,247.32113647460938,110.95702362060547,108.94999694824219
2022-06-23,136.2651824951172,252.9196319580078,111.70792388916016,112.44000244140625
2022-06-24,139.6060333251953,261.5567932128906,117.41365814208984,116.45999908447266
2022-06-27,139.6060333251953,258.8113098144531,115.28233337402344,113.22000122070312
2022-06-28,135.4472198486328,250.59425354003906,111.47454071044922,107.4000015258789
2022-06-29,137.2112579345703,254.28753662109375,111.17000579833984,108.91999816894531
2022-06-30,134.73765563964844,250.93621826171875,108.44452667236328,106.20999908447266
2022-07-01,136.9156036376953,253.6230926513672,108.22010803222656,109.55999755859375
2022-07-05,139.50747680664062,256.8180847167969,112.72406768798828,113.5
2022-07-06,140.8477783203125,260.1009521484375,114.02684020996094,114.33000183105469
2022-07-07,144.22804260253906,262.24072265625,118.21780395507812,116.33000183105469
2022-07-08,144.9080352783203,261.5177001953125,118.78559112548828,115.54000091552734
2022-07-11,142.76947021484375,258.4399719238281,115.12609100341797,111.75
2022-07-12,143.74510192871094,247.84873962402344,113.47796630859375,109.22000122070312
2022-07-13,143.3804931640625,246.92054748535156,110.82366180419922,110.4000015258789
2022-07-14,146.31729125976562,248.2493438720703,109.84235382080078,110.62999725341797
2022-07-15,147.9926300048828,250.8287353515625,111.24564361572266,113.55000305175781
2022-07-18,144.9375762939453,248.4154052734375,108.5112075805664,113.76000213623047
2022-07-19,148.8106231689453,253.57424926757812,113.26847076416016,118.20999908447266
2022-07-20,150.82098388671875,256.2513427734375,113.35803985595703,122.7699966430664
2022-07-21,153.0975341796875,258.7624206542969,113.79594421386719,124.62999725341797
2022-07-22,151.85580444335938,254.3852081298828,107.3865966796875,122.41999816894531
2022-07-25,150.73233032226562,252.89031982421875,106.99844360351562,121.13999938964844
2022-07-26,149.40191650390625,246.119384765625,104.5202865600586,114.80999755859375
2022-07-27,154.5166473388672,262.5728759765625,112.52204132080078,120.97000122070312
2022-07-28,155.06854248046875,270.0669250488281,113.67652130126953,122.27999877929688
2022-07-29,160.15370178222656,274.2974853515625,115.76652526855469,134.9499969482422
2022-08-01,159.168212890625,271.6302490234375,114.31346893310547,135.38999938964844
2022-08-02,157.68994140625,268.51336669921875,114.58219146728516,134.16000366210938
2022-08-03,163.72122192382812,275.9878234863281,117.51815795898438,139.52000427246094
2022-08-04,163.40589904785156,277.1407165527344,117.62763214111328,142.57000732421875
2022-08-05,163.1788787841797,276.4177551269531,116.91105651855469,140.8000030517578
2022-08-08,162.70516967773438,273.88720703125,116.74186706542969,139.41000366210938
2022-08-09,162.75454711914062,275.82171630859375,116.0750503540039,137.8300018310547
2022-08-10,167.01780700683594,282.5242919921875,119.13043975830078,142.69000244140625
2022-08-11,166.27767944335938,280.4333801269531,118.27452850341797,140.63999938964844
2022-08-12,169.8402557373047,285.211181640625,121.10102081298828,143.5500030517578
2022-08-15,170.9159698486328,286.7353515625,121.4991226196289,143.17999267578125
2022-08-16,170.758056640625,285.99285888671875,121.12092590332031,144.77999877929688
2022-08-17,172.2581024169922,285.2389221191406,118.98115539550781,142.10000610351562
2022-08-18,171.8633575439453,284.1129455566406,119.59820556640625,142.3000030517578
2022-08-19,169.26785278320312,280.17681884765625,116.65229034423828,138.22999572753906
